P00027739T0000|0 28|Serum gamma glutamyltransferase
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P09230216T0000|0 26|Human thymine-DNA glycosylase
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P07521601A0000|0 25|Hematopoietic growth factors
P01284828T0001|0 25|Tissue plasminogen activator
P07737944A0000|0 25|Hematopoietic growth factors
P07567300T0000|0 25|Staphylococcal enterotoxin A
P03167060A0000|0 25|Insulin-like growth factor II
P10766246A0000|0 24|Integrin adhesion receptors
P08925545T0001|0 24|Recombinant erythropoietin
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P10196318T0000|0 23|CCAAT displacement protein
P02648646A0216|0 23|Platelet activating factor
P07557276A0526|0 22|Alanine aminotransferase
P01992953T0000|0 22|Alanine aminotransferase
P02209811T0000|0 20|Horseradish peroxidase
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P02572777T0000|0 19|Tumour necrosis factor
P09099683A0000|0 19|Diacylglycerol kinase
P09521909A0081|0 18|APETALA3 transcripts
P01083375T0000|0 17|Alpha-1 antitrypsin
P08776901A0000|0 17|Chloroplast mutator
P01330077A0000|0 17|T-cell receptor beta
P01918010A0000|0 16|Lipoprotein lipase
P07811639A0222|0 16|Endo16 transcripts
P10323463T0000a|0 15|Interferon-alpha
P01624425A0907|0 15|Wild-type protein
P01316903A1040|0 15|RNA polymerase IIA
P09819038A0448|0 15|Recombinant FVIIa
P10323463T0000b|0 15|Interferon-alpha
P09884275T0000|0 15|Interferon-alpha
P01441818T0001|0 14|Interferon type I
P06402859A0000|0 14|Antithrombin III
P03143048A1091|0 14|HDL-cholesterol
P09353343A0919|0 14|RNA polymerase II
P10209759T0000|0 14|Antithrombin III
P10897973T0001|0 14|Antithrombin III
P06702257T0001|0 14|Antithrombin III
P00072928T0000|0 13|Serum-ferritin
P06152670T0000|0 13|Plasma secretin
P09541636T0000|0 13|Creatine kinase
P09606633A0523|0 13|Interferon beta
P08654390A0000|0 13|Heme oxygenase 1
P04139081T0001|0 13|HL-A antibodies
P09914525A0890|0 13|Recombinant Ffh
P03937294A0404|0 13|Plasma secretin
P08281536A0626|0 12|Interleukin-6
P08923470A0458|0 12|PPAR gamma mRNA
P09452444A0000|0 12|Interleukin-6
P07685823A1234|0 12|RNA polymerase
P09397261A0940|0 12|Interleukin-1
P02943562T0000|0 12|Penicillinase
P06513456T0001|0 12|Adenyl cyclase
P09653641A0471|0 12|Human isoforms
P09630245A0102|0 11|Yeast U1 snRNP
P09630245A0903|0 11|Yeast U1 snRNP
P01317376A0981|0 11|Fructokinase
P09642227A0000|0 11|Osteoadherin
P03027905A0632|0 10|Plasma renin
P06362143A0565|0 10|Plasma renin
P10551816A0162|0 10|Human LTBP-1
P03319646T0000|0 10|Plasma renin
P07018810A0002|0 10|Plasma renin
P11279038A0194|0 10|WRN helicase
P08575614A0264|0 10|Rad6 mutants
P02542612A0530|0 9|S1 nuclease
P06110026T0000|0 9|Endorphins
P07293327T0001|0 9|Fibrinogen
P00054900A0226|0 9|Peroxydase
P06977605T0000|0 9|Endorphins
P02529378A0536|0 9|S1 nuclease
P10488148A0111|0 8|NF-kappaB
P07635572A1153|0 8|CIITA mRNA
P09393771A1659|0 8|TNF-alpha
P11312120A1311|0 8|NF-kappaB
P11529914T0000|0 8|NF-kappaB
P01695905A0480|0 8|GLUT5 mRNA
P07652582A0000|0 8|INF-alpha
P10946303A0000|0 8|TNF-alpha
P09933428A0351|0 8|IFN-gamma
P09776360A1781|0 8|NF-kappaB
P09225998A0000|0 8|NF-kappa B
P11063742A0000|0 8|NF-kappaB
P01380062A0097|0 7|T antigen
P01588965A0000|0 7|GCR1 gene
P11836303A0518|0 7|TNFalpha
P02236064A1178|0 7|S6 kinase
P08812106T0000|0 7|PCNA mRNA
P09916809A0405|0 7|Human MGP
P11314046A0000|0 6|Cyclins
P10613816X0000|0 6|Statins
P08628251A1455|0 6|CM-ACO3
